,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
81,W10_graphic_C,Do the health warnings on smokeless tobacco packaging include a photograph or graphic?,2016,,,0.0,Yes
82,WHS3_56,Neonatal tetanus - number of reported cases,1994,,,2285.0,2285
83,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2002,SEX,SEX_MLE,3.48434,3.5 [1.1 - 6.4]
84,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,SEVERITY,SEVERITY_TOTAL,53.0,53.0 [44.3-61.1]
85,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2006,SEX,SEX_MLE,2.0,2.0 [1.5-2.6]
86,R_Group,Raising taxes on tobacco,2018,,,0.0,4
87,SDGIPV12M,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,2018,,,18.0,18 [11-28]
88,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,2019,,,60.95,60.95
89,W7_rotation_B,Are the health warnings on other smoked tobacco packaging rotating?,2007,,,0.0,Yes
90,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),2010,SEX,SEX_MLE,0.50922,0.5 [0.3-0.7]
91,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,AGEGROUP,AGEGROUP_MONTHS1-59,0.2373,0.2
92,WHS4_154,Antenatal care coverage - at least four visits (%),2004,,,37.6,37.6
93,SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",2006,SEX,SEX_BTSX,9.94871,9.9 [3.7 - 17.4]
94,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,SEX,SEX_FMLE,2.5,2.5 [1.8-3.4]
95,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.1,0.1 [0 - 0.8]
96,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1966,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,0.0,0
98,NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2008,SEVERITY,SEVERITY_MILD,25.9,25.9 [23.3-28.0]
99,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2015,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM80,7.8,7.8 [7.6-8.0]
100,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2011,SEX,SEX_BTSX,247271.0,247 271 [232 516-262 084]
101,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1994,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,22.88471,22.88 [6.24 - 55.48]
102,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1994,SEX,SEX_BTSX,0.17322,0.2 [0.1-0.2]
103,MORT_200,Deaths per 1 000 live births,2016,AGEGROUP,AGEGROUP_DAYS0-27,0.0,0
104,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),2015,,,69.0,69
105,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1990,SEX,SEX_BTSX,194447.0,194 447 [181 955-207 795]
106,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2012,,,14.0,14 [3-33]
107,CM_04,Number of deaths among children ages 5 to 9 years,1994,SEX,SEX_BTSX,279871.0,279 871 [268 210-291 073]
108,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1996,SEX,SEX_MLE,6.08742,6.1 [5.2-7.1]
109,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2006,SEX,SEX_MLE,2.0,2.0 [1.4-2.8]
110,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1973,SEX,SEX_FMLE,127.81855,127.8 [121.7-134.2]
111,CM_04,Number of deaths among children ages 5 to 9 years,2022,SEX,SEX_BTSX,37089.0,37 089 [30 143-43 048]
112,W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,2020,,,0.0,No
114,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,SEX,SEX_FMLE,52.9,52.9 [45.0-60.5]
116,SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",2010,SEX,SEX_BTSX,12.0089,12.0 [10.9 - 13.1]
118,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),2019,SEX,SEX_MLE,37.44284,37.4 [25.4-50.5]
119,TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2012,,,5.4,5.4
120,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,AGEGROUP,AGEGROUP_DAYS0-27,0.0,0
121,MORT_300,Distribution of causes of death among children aged < 5 years (%),2014,AGEGROUP,AGEGROUP_DAYS0-27,0.00078,0
122,CM_03,Number of neonatal deaths,2007,SEX,SEX_BTSX,956553.0,956 553 [888 503-1 027 328]
123,SA_0000001819,Heavy episodic drinking (youth 15 -19 years) past 30 days (%),2016,SEX,SEX_BTSX,12.8,12.8 [11.4-14.2]
124,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2012,SEX,SEX_MLE,4.54596,4.5 [4.2-4.9]
125,NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2018,SEX,SEX_MLE,4.2,4.2 [3.9-4.4]
126,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2019,SEX,SEX_FMLE,29.59893,29.6 [27.2-32.1]
127,O_Varen_where,Varenicline - place available,2022,,,0.0,In a pharmacy with a prescription
128,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1999,AGEGROUP,AGEGROUP_MONTHS12-17,3.9,3.9 [3.3-4.6]
129,WHS6_102,Hospital beds (per 10 000 population),2008,,,18.68888,18.7
130,MORT_100,Number of deaths,2021,SEX,SEX_BTSX,33699.69396,33699.69396
131,SDGPM25,Concentrations of fine particulate matter (PM2.5),2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,55.71659,55.72 [53.57-57.93]
132,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,30.35675,30.36 [7.29 - 71.64]
133,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.1,0.1 [0 - 1.2]
134,HEMOGLOBINLEVEL_NONPREGNANT_MEAN,Mean hemoglobin level of non-pregnant women (aged 15-49 years),2006,,,116.0,116 [114-119]
135,FINPROTECTION_IMP_P190_POP,"Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)",2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,22.79,22.79
136,MH_12,Age-standardized suicide rates (per 100 000 population),2014,SEX,SEX_MLE,15.6624,15.7 [10.7-18.2]
137,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP40,2.7,2.7 [2.4-3.2]
138,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,AGEGROUP,AGEGROUP_MONTHS1-59,0.07556,0.1
139,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,AGEGROUP,AGEGROUP_MONTHS0-11,4.6,4.6 [3.9-5.3]
140,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2015,AGEGROUP,AGEGROUP_MONTHS30-35,43.1,43.1 [42.1-44.0]
141,MORT_100,Number of deaths,2010,SEX,SEX_BTSX,246789.8242,246789.8242
142,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2016,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,371.72538,371.73 [321.63 - 406.44]
143,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1981,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,0.0,0
144,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2007,SEVERITY,SEVERITY_MILD,69600.0,69600 [61800-76500]
145,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,SEX,SEX_FMLE,2.7,2.7 [2.3-3.3]
146,W16_number_hw_B,How many health warnings are approved by the law for other smoked tobacco packaging?,2016,,,2.0,2
147,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1991,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,68.44922,68.45 [45.33 - 95.46]
148,NCD_CCS_dialysis,General availability of dialysis in the public health system,2017,,,0.0,Yes
149,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2018,SEX,SEX_BTSX,25.15521,25.2 [24.3-26.1]
150,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1992,AGEGROUP,AGEGROUP_YEARSALL,51.3,51.3
151,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,AGEGROUP,AGEGROUP_YEARS0-4,0.03476,0
152,RSUD_200,Confidentiality of people in treatment for substance use disorders,2014,SUBSTANCETYPEDISORDER,SUBSTANCETYPEDISORDER_ALCOHOL_USE_DISORDERS,0.0,Yes
153,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2004,SEX,SEX_MLE,1.0,1.0 [0.9-1.0]
155,WHS3_41,Diphtheria - number of reported cases,1993,,,7131.0,7131
156,CARE_SOURCE,Care-seeking by type of patient and source of care (%),2015,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,64.71,64.71
157,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2006,SEX,SEX_FMLE,1.2,1.2 [0.8-2.0]
158,MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2022,,,2.55957,2.56 [1.92-3.41]
159,RSUD_580,Prevention programmes for alcohol,2014,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_WORK_PLACE_PROG,0.0,Yes
160,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2009,SEX,SEX_MLE,2.28873,2.3 [2.1-2.5]
161,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2006,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,34.5,34.5 [33.1-36.1]
162,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2018,SEX,SEX_FMLE,3.31895,3.3 [2.6-4.1]
163,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2001,SEX,SEX_FMLE,13.62849,13.6 [12.8-14.5]
164,MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,AGEGROUP,AGEGROUP_DAYS0-27,0.43847,0.4
165,FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)",2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2.71,2.71
166,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1997,AGEGROUP,AGEGROUP_YEARSALL,45.9,45.9
167,SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",2016,SEX,SEX_MLE,18.43772,18.4 [16.9 - 20.0]
169,SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2017,SEX,SEX_FMLE,8.07641,8.1 [7.1 - 9.1]
170,WSH_SANITATION_OD,Population practising open defecation (%),2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,51.0814,51
171,SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2012,SEX,SEX_BTSX,8.56287,8.6 [7.6 - 9.6]
172,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2016,SEX,SEX_BTSX,41.06891,41.1 [38.9-43.3]
173,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2015,SEX,SEX_BTSX,3.23872,3.2 [2.9-3.6]
174,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2019,SEX,SEX_FMLE,28.76562,28.8 [27.3-30.3]
175,RSUD_760,Educational attainment in prevention,2014,EDUCATIONLEVEL,EDUCATIONLEVEL_BACHELOR,0.0,No
176,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2014,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,4.6,4.6
177,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2006,SEX,SEX_BTSX,1.9,1.9 [1.7-2.1]
178,HWF_0011,Dentists (number),2002,,,47165.0,47 165
179,Camp_aud_research,Formative research was conducted,2012,,,0.0,Yes
180,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.9,0.9 [0 - 3.4]
181,WHS3_62,Measles - number of reported cases,1976,,,157047.0,157 047
182,MORT_200,Deaths per 1 000 live births,2003,AGEGROUP,AGEGROUP_YEARS0-4,4.31651,4.3
183,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2007,,,19.0,19 [6.8-37]
184,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2004,SEX,SEX_FMLE,30.71508,30.7 [29.1-32.3]
185,M_Est_cig_curr_std,Estimate of current cigarette smoking prevalence (%) (age-standardized rate),2030,SEX,SEX_BTSX,2.8,2.8 [1.8-3.9]
186,NCD_CCS_EyePlan,Existence of operational policy/strategy/action plan for eye health,2021,,,0.0,Yes
187,UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),2015,,,57.34273,57
188,TB_c_mdr_tx,Cases started on MDR-TB treatment,2017,,,35950.0,35950
189,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,WEALTHDECILE,WEALTHDECILE_TOTL,18.7,18.7 [18.4-19.1]
